Categoria,User Stories,Business Value,User Story Elaboration,Definition of Done,Expected output,LOC,# New classes,# Changed classes,Person-hours,N° of unit test revisions,Changes entropy,Services Dependencies
Numero di user stories scritte,194,,,,,,,,,,,
,"As chief legal officer, I want the withdrawal to be not accessible to non-verified users, so that users who have inserted fake informations are prevented to withdraw.","Discourage fake users to use the system, in order to prevent identity theft or minor users, and fulfill the condition imposed by the government.","When the withdrawal function is called, the system will check if the user is verified. In the case of negative response, an illegal action message will be shown and the withdrawal operation will terminate.","The system will correctly prevent non-verified users to do withdrawal operations, showing also the reason why the operation cannot be completed, in this case due to an identity verification missing. Verified users will proceed normally with the withdrawal operation.",,50,3,0,3,0,,
,"As chief legal officer, I want the company legal registration number to be shown at the bottom of the user interface, so that we can prove the reliability of the system.",Permit the company to avoid legal problems and/or sanctions by fulfilling the condition imposed by the ordinary law,"The registration number of the company has to be put on the general template of the user interface, in order to be visualised on every page of the site.",The registration number must be clearly visible on every page of the site. Other informations must not overlap it or shadow it. ,,20,1,0,2,0,,
,"As a legal office member, I want to confirm the verification of the user identity, so that true accounts can access to all the functionality of the system and fake ones be deleted.","Discourage fake users to use the system, in order to prevent identity theft or minor users, and fulfill the condition imposed by the government.","In the special user information page accessible to the legal office member, there will be implemented a ""verify"" button, which, after being pressed, will modify the database changing the field ""verified"" from false to true.","The ""verify"" button has to be shown if the user is not yet verified. Once pressed, the verified user must be granted the power to complete all the operation before restricted. The ""verified"" state cannot return to false once it is changed to true. An email will be sent to inform the user that his account is being correctly verified.",,,2,0,,,,
,"As a legal office member, I want to request the user to submit additional documentation, so that the users can prove the authenticity of their informations.","Discourage fake users to use the system, in order to prevent identity theft or minor users, and fulfill the condition imposed by the government.","In the special user information page accessible to the legal office member, there will be implemented a form in which the office member can write a request to be sent to the user. The message sent will includes the an ""upload"" button to upload files according to file type and dimension restrictions.","The form will be correctly shown on the panel. The message generated by the action of the office member will automatically include the company logo and informations, in addition to the text written by the office member. The ""upload"" button will correclty upload the files and it also prevents non-consistent file to be uploaded. A copy of the message is sent to both the user private inbox in his personal page and to his email address. The recipient can reply, and the reply message is queued in the request messages queue.",,,1,0,,,,
,"As chief legal officer, I want a warning about gambling addiction to be always visible, so that the users can be aware of the consequence of playing.",Permit the company to avoid legal problems and/or sanctions by fulfilling the condition imposed by the ordinary law,"A warning about gambling addiction has to be put on the general template of the user interface, in order to be visualised on every page of the site. There will be added a link to the gambling disclaimer page.",The warning must be clearly visible on every page of the site. Other informations must not overlap it or shadow it. ,,,0,1,,,,
,"As a legal office member, I want to ban the users who do not respect the terms of the contract, so that inappropriate users cannot use the system.",Remove from the system the users who can make damage to the company.,"In the special user information page accessible to the legal office member, there will be implemented a ""ban"" button, which, after being pressed, will put the user in the suspended users list.","The ""ban"" button is correclty shown on the user information page in the legal office member panel. Once pressed, the related user will be denied to log in the system. ",,,0,1,,,,
,"As a legal office member, I want to unban the users, so that if a user was banned by mistake he can return to use the system.",Maintain users who normally use the system and respect the terms and conditions accepted during the registration process.,"In the special user information page accessible to the legal office member, there will be implemented a ""unban"" button, which, after being pressed, will remove the user in the suspended users list.","The ""unban"" button is correclty shown on the user information page in the legal office member panel. Once pressed, the related user will be granted the possibility to access the sysytem.",,,0,1,,,,
,"As chief legal officer, I want a section in the disclaimer page that informs the users about the probability of winning for each type of game in this system. ",Permit the company to avoid legal problems and/or sanctions by fulfilling the condition imposed by the ordinary law,"A link to the probability of winning has to be put on the general template of the user interface near the warning about gambling addiction, in order to be visualised on every page of the site. A section in the disclaimer page will be added and the related information will be shown on there.",The link to the probability of winning must be clearly visible on every page of the site. Other informations must not overlap it or shadow it. The displaimer page has to be shown without problems.,,,0,1,,,,
,"As chief legal officer, I want the users who have not verified their account within 30 days to be blocked, so that the system can deny the access of unverified users who have passed the legal term for the verification process.",Permit the company to avoid legal problems and/or sanctions by fulfilling the condition imposed by the ordinary law,"At the end of the day, an automatic function is called. It will check the countdown related to each non-verified user and drecrease the number by one. If the countdown reaches the 0, the user will be put on the suspended users list. ","The users who have not verified their identity within 30 days will be prevented to access the system, and an appropriate error message will be shown. A non-verified user who still has time to verify his identity must not put on the suspended users list (at least not by this function).",,,1,1,,,,
